NAME,room type,price,review rate,house_rule,city,latitude,longitude
지유,"여관,모텔",0,2.8,,서울 송파구,37.5088303,127.0806179
청향재,호텔,0,3.9,,서울 강남구,37.4990496,127.0285218
고디바 광화문점,"구두,신발",0,2.6,포장가능,서울 종로구,37.5741704,127.0192111
카파쓰 관광호텔,게스트하우스,0,2.9,,서울 은평구,37.6416067,126.9401819
칼튼호텔,초콜릿,0,1.9,,서울 종로구,37.5287774,126.84585
캄스테이,호텔,0,3.4,,서울 강남구,37.5018974,127.0421303
캘리포니아관광호텔,"여관,모텔",0,2.7,"주차가능,예약가능",서울 중랑구,37.5410653,126.8382476
케이팝호텔,숙박,0,2.9,,서울 중구,37.5084454,127.085308
코리아나호텔,호텔,0,3.2,예약가능,서울 송파구,37.4945055,127.1204267
코보스호텔,"여관,모텔",0,3.1,,서울 중구,37.5547727,126.9741041
코트야드바이메리어트 서울남대문,호텔,0,4.1,,서울 중구,37.5682306,126.9766528
코트야드 바이메리어트 서울타임스퀘어,호텔,0,4,"휠체어사용,예약가능",서울 영등포구,37.529655,126.9208594
콘래드 서울,호텔,0,3.7,와이파이,서울 중구,37.5611544,126.9770044
쿠즈호텔,호텔,0,4.7,"예약가능,와이파이",서울 영등포구,37.5174567,126.9038878
쿤하우스,호텔,0,3.3,,서울 영등포구,37.5253892,126.9266335
큐브게스트하우스,"여관,모텔",0,4.2,,서울 종로구,37.5770315,126.9897482
클래식고택,게스트하우스,0,5,,서울 용산구,37.553428,126.9755728
토요코인호텔 서울강남점,게스트하우스,0,4.2,,서울 용산구,37.535552,126.9921715
톰지호텔,숙박,0,2.9,,서울 종로구,37.5798212,126.9681258
트레블로지 동대문호텔,호텔,0,3.2,,서울 서초구,37.5188362,127.0186753
트레블로지 명동 시티홀 호텔,"여관,모텔",0,4,"휠체어사용,예약가능,와이파이",서울 송파구,37.515408,127.1146225
트리아관광호텔,호텔,0,3.6,,서울 중구,37.5553292,127.0096061
티롤관광호텔,호텔,0,3.9,,서울 중구,37.563036,126.9780453
파로스관광호텔,호텔,0,1.7,,서울 강남구,37.5032056,127.0390465
파크 하얏트 서울,호텔,0,4.4,"주차가능,예약가능",서울 서초구,37.5151391,127.0170606
파티오세븐,호텔,0,2.5,,서울 송파구,37.5083623,127.081665
퍼시픽호텔,호텔,0,4.2,"주차가능,예약가능,와이파이",서울 강남구,37.5086027,127.0641785
페어몬트 앰배서더 서울,호텔,0,4,"주차가능,휠체어사용,예약가능,와이파이",서울 강남구,37.5221386,127.0281592
포레스타호텔,호텔,0,3.6,"주차가능,예약가능,와이파이",서울 중구,37.5596756,126.9854296
포레스타호텔,호텔,0,3.6,"주차가능,예약가능,와이파이",서울 영등포구,37.5259638,126.9284184
포레스타호텔,호텔,0,3.6,"주차가능,예약가능,와이파이",서울 성동구,37.5098063,127.080863
미래에셋컨설팅 광화문미래에셋호텔,호텔,0,3.8,,서울 성동구,37.5626599,127.0345126
포포인츠 바이쉐라톤 서울구로,호텔,0,3.9,,서울 성동구,37.6079542,126.9239776
조선호텔 포포인츠바이쉐라톤 서울명동,호텔,0,4.3,놀이방,서울 성동구,37.5098063,127.080863
조선호텔 포포인츠바이쉐라톤 서울역,호텔,0,3.7,"휠체어사용,놀이방,흡연실,와이파이",서울 성동구,37.5626599,127.0345126
프레이저플레이스 남대문서울,호텔,0,3.5,,서울 성동구,37.6079542,126.9239776
프레이저플레이스 센트럴서울,호텔,0,3.8,,서울 성동구,37.5098063,127.080863
프레지던트호텔,호텔,0,3.6,주차가능,서울 성동구,37.5626599,127.0345126
펠리체,호텔,0,3.8,주차가능,서울 성동구,37.6079542,126.9239776
XYM프리미어호텔,호텔,0,3.5,,서울 성동구,37.5098063,127.080863
플랜에이호스텔,호텔,0,4.6,,서울 성동구,37.5626599,127.0345126
필스테이 이화부띠끄,호텔,0,4.5,,서울 성동구,37.6079542,126.9239776
하노크 북촌,호텔,0,3.7,,서울 성동구,37.5098063,127.080863
하얀모텔,호텔,0,4.3,,서울 성동구,37.5626599,127.0345126
하이서울유스호스텔,호텔,0,4.4,"주차가능,휠체어사용,예약가능,와이파이",서울 성동구,37.6079542,126.9239776
하이얀,호텔,0,4.3,,서울 성동구,37.5098063,127.080863
한미장펜션,호텔,0,4.6,"주차가능,예약가능,와이파이",서울 성동구,37.5626599,127.0345126
한스하우스,호텔,0,3,,서울 성동구,37.6079542,126.9239776
한옥게스트하우스동촌재,호텔,0,5,,서울 성동구,37.5098063,127.080863
한옥에세이 서촌,호텔,0,4,,서울 성동구,37.5626599,127.0345126
함경루,호텔,0,5,,서울 성동구,37.6079542,126.9239776
해밀톤호텔,호텔,0,4.4,예약가능,서울 성동구,37.5098063,127.080863
핸드픽트호텔,호텔,0,3.2,,서울 성동구,37.5626599,127.0345126
헤이마게스트하우스,호텔,0,4.6,,서울 성동구,37.6079542,126.9239776
호스텔하루,호텔,0,4.2,,서울 성동구,37.5098063,127.080863
호스텔하루,호텔,0,4.2,,서울 성동구,37.5626599,127.0345126
호텔 나루 서울 엠갤러리 앰배서더,호텔,0,4.2,,서울 성동구,37.6079542,126.9239776
호텔더디자이너스 종로점,부동산,0,3.9,,서울 종로구,37.5706548,126.9753742
